!  Einasto_rs0.07_rhos24.913_alpha0.16_rtrunc25.txt
! R    D    M    P
2000
1e-05 302443.99928074697 9.380220919616362e-16 -6.292147439564191
1.006123575847316e-05 301549.23845895013 2.3382447065058862e-11 -6.292147432458069
1.0122846498757917e-05 300656.254192209 4.712564135144177e-11 -6.292147411142275
1.0184834517083798e-05 299765.04553487373 7.123604589410851e-11 -6.292147375570924
1.0247202123741523e-05 298875.611535412 9.571926894205724e-11 -6.292147325697222
1.0309951643169051e-05 297987.9512364236 1.2058100321519122e-10 -6.292147261473469
1.0373085414038158e-05 297102.06367464236 1.4582702715710427e-10 -6.292147182851041
1.0436605789341707e-05 296217.9478809452 1.7146320620619165e-10 -6.292147089780394
1.0500515136481299e-05 295335.60288036196 1.9749549408522115e-10 -6.292146982211058
1.0564815837355432e-05 294455.027692079 2.2392993410968526e-10 -6.292146860091631
1.0629510288448401e-05 293576.2213294498 2.5077266051528613e-10 -6.29214672336977
1.0694600900919563e-05 292699.1828000003 2.780298998046794e-10 -6.292146571992199
1.0760090100693117e-05 291823.91110544046 3.057079721138085e-10 -6.2921464059046865
1.0825980328548686e-05 290950.4052416674 3.3381329259822826e-10 -6.292146225052054
1.0892274040212104e-05 290078.66419877595 3.6235237283944966e-10 -6.292146029378164
1.0958973706447095e-05 289208.6869610656 3.913318222718822e-10 -6.292145818825914
1.1026081813147287e-05 288340.4725070507 4.207583496304302e-10 -6.292145593337241
1.1093600861428806e-05 287474.0198094635 4.50638764419136e-10 -6.292145352853101
1.1161533367723615e-05 286609.3278352679 4.809799784012428e-10 -6.292145097313475
1.122988186387324e-05 285746.3955456632 5.117890071108302e-10 -6.292144826657363
1.1298648897223065e-05 284885.22189609497 5.430729713863944e-10 -6.292144540822772
1.1367837030717404e-05 284025.8058362607 5.748390989267924e-10 -6.292144239746712
1.1437448842994951e-05 283168.1463101217 6.070947258696771e-10 -6.292143923365195
1.1507486928484828e-05 282312.2422559075 6.398472983928423e-10 -6.292143591613229
1.1577953897503402e-05 281458.09260612685 6.731043743388874e-10 -6.292143244424805
1.1648852376351514e-05 280605.6962875741 7.068736248633577e-10 -6.2921428817328975
1.172018500741229e-05 279755.0522213403 7.411628361067761e-10 -6.292142503469461
1.1791954449249754e-05 278906.15932281915 7.759799108910098e-10 -6.292142109565415
1.1864163376707854e-05 278059.0165017166 8.113328704401245e-10 -6.292141699950643
1.1936814481010072e-05 277213.62266205985 8.472298561261615e-10 -6.292141274553993
1.2009910469859876e-05 276369.9767022059 8.836791312403065e-10 -6.2921408333032565
1.2083454067541561e-05 275528.0775148478 9.206890827895984e-10 -6.292140376125176
1.215744801502171e-05 274687.9239870284 9.582682233196387e-10 -6.292139902945433
1.2231895070051522e-05 273849.5150001448 9.964251927638051e-10 -6.292139413688641
1.2306798007269393e-05 273012.8494299585 1.0351687603190218e-09 -6.29213890827834
1.2382159618304503e-05 272177.926146606 1.0745078263488557e-09 -6.292138386636992
1.245798271188079e-05 271344.74401460367 1.114451424313994e-09 -6.29213784868597
1.2534270113921541e-05 270513.3018928628 1.15500872273062e-09 -6.292137294345558
1.2611024667654885e-05 269683.5986346926 1.1961890271572162e-09 -6.292136723534936
1.2688249233719669e-05 268855.6330878121 1.2380017822099376e-09 -6.292136136172182
1.2765946690271999e-05 268029.404094361 1.2804565736070887e-09 -6.2921355321742585
1.2844119933092672e-05 267204.91049090616 1.3235631302432498e-09 -6.292134911457008
1.2922771875695014e-05 266382.15110845066 1.367331326293202e-09 -6.29213427393515
1.3001905449433393e-05 265561.1247724453 1.4117711833462128e-09 -6.292133619522264
1.3081523603612629e-05 264741.830302798 1.4568928725712387e-09 -6.292132948130797
1.3161629305597833e-05 263924.26651387924 1.5027067169132181e-09 -6.292132259672038
1.3242225540924917e-05 263108.43221453746 1.5492231933210165e-09 -6.292131554056129
1.3323315313412034e-05 262294.32620810304 1.5964529350076307e-09 -6.292130831192049
1.3404901645271446e-05 261481.94729240256 1.6444067337428093e-09 -6.292130090987602
1.3486987577222077e-05 260671.2942597643 1.6930955421786904e-09 -6.29212933334942
1.3569576168603003e-05 259862.36589703138 1.7425304762090766e-09 -6.292128558182949
1.3652670497487404e-05 259055.16098556816 1.7927228173625259e-09 -6.292127765392443
1.373627366079718e-05 258249.67830127373 1.8436840152298675e-09 -6.292126954880956
1.3820388774418588e-05 257445.91661458812 1.895425689926822e-09 -6.292126126550335
1.3905018973318134e-05 256643.87469050565 1.9479596345917794e-09 -6.292125280301212
1.3990167411659615e-05 255843.55128858067 2.0012978179197375e-09 -6.292124416032996
