!  Einasto_rs0.035_rhos24.682_alpha0.16_rtrunc26.txt
! R    D    M    P
2000
1e-05 500301.6276558859 2.2349857074003748e-15 -3.7184775157885808
1.006123575847316e-05 498648.2072878651 3.8673081552410835e-11 -3.718477504033254
1.0122846498757917e-05 496998.64340372547 7.792847162318135e-11 -3.7184774687805513
1.0184834517083798e-05 495352.9323350589 1.1777711210614857e-10 -3.7184774099628717
1.0247202123741523e-05 493711.0704023105 1.5822783749614246e-10 -3.7184773275112195
1.0309951643169051e-05 492073.05391480046 1.9928961171024928e-10 -3.7184772213552018
1.0373085414038158e-05 490438.8791707663 2.409715299492432e-10 -3.7184770914230194
1.0436605789341707e-05 488808.54245738103 2.832828205853444e-10 -3.7184769376414617
1.0500515136481299e-05 487182.04005079466 3.262328470764549e-10 -3.7184767599359008
1.0564815837355432e-05 485559.3682161592 3.698311099073314e-10 -3.7184765582302832
1.0629510288448401e-05 483940.52320765913 4.1408724855820224e-10 -3.7184763324471253
1.0694600900919563e-05 482325.50126854406 4.5901104350096267e-10 -3.7184760825075056
1.0760090100693117e-05 480714.2986311608 5.046124182234217e-10 -3.7184758083310565
1.0825980328548686e-05 479106.9115169817 5.509014412821811e-10 -3.718475509835962
1.0892274040212104e-05 477503.336136639 5.97888328384121e-10 -3.718475186938947
1.0958973706447095e-05 475903.56868995103 6.455834444973678e-10 -3.7184748395552707
1.1026081813147287e-05 474307.6053659621 6.939973059917524e-10 -3.718474467598721
1.1093600861428806e-05 472715.44234296505 7.431405828093283e-10 -3.7184740709816073
1.1161533367723615e-05 471127.0757885396 7.930241006654825e-10 -3.7184736496147517
1.122988186387324e-05 469542.50185957836 8.436588432808039e-10 -3.718473203407483
1.1298648897223065e-05 467961.7167023246 8.950559546442414e-10 -3.7184727322676308
1.1367837030717404e-05 466384.7164523999 9.472267413081528e-10 -3.7184722361015132
1.1437448842994951e-05 464811.4972348359 1.0001826747153671e-09 -3.7184717148139383
1.1507486928484828e-05 463242.0551641111 1.0539353935588601e-09 -3.718471168308185
1.1577953897503402e-05 461676.3863441789 1.1084967061746303e-09 -3.718470596486004
1.1648852376351514e-05 460114.4868684968 1.1638785929679346e-09 -3.7184699992476085
1.172018500741229e-05 458556.35282007005 1.22009320887348e-09 -3.7184693764916634
1.1791954449249754e-05 457001.9802714718 1.2771528858502017e-09 -3.718468728115281
1.1864163376707854e-05 455451.365284882 1.3350701354107873e-09 -3.718468054014011
1.1936814481010072e-05 453904.5039121206 1.3938576511865576e-09 -3.7184673540818323
1.2009910469859876e-05 452361.39219467493 1.453528311528385e-09 -3.7184666282111465
1.2083454067541561e-05 450822.0261637392 1.5140951821437841e-09 -3.7184658762927674
1.215744801502171e-05 449286.40184024436 1.5755715187708333e-09 -3.7184650982159146
1.2231895070051522e-05 447754.5152348906 1.6379707698896496e-09 -3.7184642938682053
1.2306798007269393e-05 446226.36234817974 1.7013065794713977e-09 -3.7184634631356452
1.2382159618304503e-05 444701.9391704524 1.765592789765989e-09 -3.7184626059026185
1.245798271188079e-05 443181.24168191565 1.830843444128451e-09 -3.7184617220518805
1.2534270113921541e-05 441664.2658526824 1.8970727898847094e-09 -3.7184608114645514
1.2611024667654885e-05 440151.00764280057 1.9642952812375325e-09 -3.7184598740201023
1.2688249233719669e-05 438641.46300228836 2.0325255822127635e-09 -3.7184589095963516
1.2765946690271999e-05 437135.6278711659 2.1017785696465976e-09 -3.718457918069453
1.2844119933092672e-05 435633.49817949306 2.1720693362146824e-09 -3.718456899313886
1.2922771875695014e-05 434135.06984739954 2.2434131935031626e-09 -3.7184558532024483
1.3001905449433393e-05 432640.33878511965 2.315825675122479e-09 -3.718454779606247
1.3081523603612629e-05 431149.3008930283 2.389322539864698e-09 -3.718453678394689
1.3161629305597833e-05 429661.95206167235 2.4639197749045345e-09 -3.7184525494354688
1.3242225540924917e-05 428178.28817180736 2.539633599044872e-09 -3.718451392594563
1.3323315313412034e-05 426698.30509442755 2.6164804660076288e-09 -3.7184502077362187
1.3404901645271446e-05 425221.9986908068 2.6944770677701047e-09 -3.7184489947229435
1.3486987577222077e-05 423749.3648125289 2.773640337947665e-09 -3.718447753415498
1.3569576168603003e-05 422280.39930151805 2.8539874552236224e-09 -3.7184464836728828
1.3652670497487404e-05 420815.0979900842 2.9355358468264983e-09 -3.71844518535233
1.373627366079718e-05 419353.45670094684 3.018303192055496e-09 -3.7184438583092967
1.3820388774418588e-05 417895.471247277 3.1023074258551726e-09 -3.718442502397446
1.3905018973318134e-05 416441.1374327301 3.187566742439242e-09 -3.7184411174686476
1.3990167411659615e-05 414990.4510514779 3.2740995989650126e-09 -3.718439703372959
1.407583726292159e-05 413543.4078882478 3.3619247192584667e-09 -3.71843825995862
1.4162031720015565e-05 412100.00371835555 3.4510610975909157e-09 -3.7184367870720396
1.4248753995405176e-05 410660.2343077407 3.5415280025082135e-09 -3.718435284557787
1.4336007321225814e-05 409224.09541300184 3.6333449807126885e-09 -3.718433752258581
1.4423794949405016e-05 407791.58278143447 3.726531860998793e-09 -3.7184321900152772
1.4512120151783831e-05 406362.69215106254 3.821108758243448e-09 -3.7184305976668592
1.4600986220238671e-05 404937.41925067507 3.917096077451278e-09 -3.7184289750504282
1.4690396466803918e-05 403515.759799863 4.014514517855756e-09 -3.718427322001189
1.4780354223795533e-05 402097.709509056 4.1133850770772806e-09 -3.7184256383524414
1.4870862843935173e-05 400683.2640795529 4.213729055338407e-09 -3.7184239239355694
1.4961925700475043e-05 399272.4192035636 4.315568059737245e-09 -3.718422178580027
1.5053546187323806e-05 397865.1705642417 4.418924008580149e-09 -3.718420402113329
1.5145727719172989e-05 396461.51383572083 4.523819135773878e-09 -3.718418594361039
1.523847373162414e-05 395061.44468315237 4.630275995278303e-09 -3.7184167551467575
1.5331787681317072e-05 393664.95876273763 4.738317465620832e-09 -3.718414884292111
1.5425673046058592e-05 392272.0517217689 4.84796675447272e-09 -3.7184129816167406
1.552013332495203e-05 390882.71919866384 4.959247403288428e-09 -3.7184110469382863
1.5615172038527828e-05 389496.95682299853 5.072183292009165e-09 -3.7184090800723797
1.5710792728874674e-05 388114.7602155498 5.186798643830909e-09 -3.7184070808326295
1.5806998959771397e-05 386736.1249883292 5.303118030037956e-09 -3.718405049030611
1.5903794316820035e-05 385361.04674461606 5.4211663749034125e-09 -3.718402984475849
1.6001182407579196e-05 383989.5210789996 5.5409689606564394e-09 -3.7184008869758127
1.6099166861698744e-05 382621.5435774137 5.662551432518393e-09 -3.718398756335897
