!  Einasto_rs0.07_rhos24.913_alpha0.16_rtrunc1000.txt
! R    D    M    P
2000
9.999999999999999e-06 287390.76576516806 8.913348849856328e-16 -6.007739868129875
1.0061235758473158e-05 286540.5389517269 2.221865662228911e-11 -6.007739861377438
1.0122846498757916e-05 285692.0002706974 4.478010536619588e-11 -6.007739841122572
1.0184834517083796e-05 284845.14882349654 6.769048758870101e-11 -6.007739807321678
1.0247202123741522e-05 283999.98370595154 9.095513240520444e-11 -6.007739759930288
1.030995164316905e-05 283156.50400831405 1.1457944919772788e-10 -6.007739698903078
1.0373085414038156e-05 282314.7088152614 1.3856892880534666e-10 -6.007739624193843
1.0436605789341706e-05 281474.59720590577 1.6292914473203504e-10 -6.007739535755505
1.0500515136481297e-05 280636.1682538031 1.8766575437205258e-10 -6.007739433540107
1.056481583735543e-05 279799.4210269569 2.1278450025317726e-10 -6.007739317498804
1.06295102884484e-05 278964.35458782787 2.3829121129811886e-10 -6.00773918758186
1.0694600900919561e-05 278130.9679933394 2.641918041042325e-10 -6.007739043738649
1.0760090100693115e-05 277299.26029488834 2.90492284241848e-10 -6.0077388859176395
1.0825980328548684e-05 276469.23053834797 3.171987475715936e-10 -6.007738714066399
1.0892274040212103e-05 275640.877764078 3.4431738158074357e-10 -6.007738528131583
1.0958973706447093e-05 274814.2010069314 3.718544667391394e-10 -6.007738328058934
1.1026081813147285e-05 273989.199296264 3.9981637787473635e-10 -6.007738113793276
1.1093600861428804e-05 273165.87165593705 4.2820958556914883e-10 -6.007737885278505
1.1161533367723613e-05 272344.21710433054 4.570406575735508e-10 -6.00773764245759
1.1229881863873238e-05 271524.2346543472 4.863162602450732e-10 -6.0077373852725655
1.1298648897223063e-05 270705.923313422 5.160431600040557e-10 -6.007737113664525
1.1367837030717402e-05 269889.2820835282 5.462282248125481e-10 -6.007736827573613
1.143744884299495e-05 269074.309961188 5.768784256741836e-10 -6.007736526939028
1.1507486928484826e-05 268261.0059374775 6.080008381558216e-10 -6.007736211699011
1.15779538975034e-05 267449.3689980365 6.396026439313501e-10 -6.007735881790838
1.1648852376351512e-05 266639.39812307496 6.716911323477943e-10 -6.007735537150821
1.1720185007412288e-05 265831.09228738345 7.042737020141284e-10 -6.0077351777143
