!  Einasto_rs0.035_rhos24.682_alpha0.16_rtrunc33.txt
! R    D    M    P
2000
1e-05 232401.51687362866 1.038201836408949e-15 -1.738060627642263
1.006123575847316e-05 231633.46540164328 1.7964528432715134e-11 -1.7380606221816457
1.0122846498757917e-05 230867.20535437897 3.619955245344045e-11 -1.7380606058059613
1.0184834517083798e-05 230102.73502777654 5.4710154821424795e-11 -1.7380605784838075
1.0247202123741523e-05 229340.0527125988 7.350043936101295e-11 -1.7380605401831346
1.0309951643169051e-05 228579.15669444072 9.257457001613956e-11 -1.738060490871243
1.0373085414038158e-05 227820.0452537493 1.1193677171500663e-10 -1.7380604305147809
1.0436605789341707e-05 227062.71666583171 1.3159133124699017e-10 -1.7380603590797399
1.0500515136481299e-05 226307.1692008747 1.5154259815184646e-10 -1.7380602765314537
1.0564815837355432e-05 225553.40112395614 1.7179498562143105e-10 -1.738060182834594
1.0629510288448401e-05 224801.41069505937 1.9235297141416626e-10 -1.7380600779531674
1.0694600900919563e-05 224051.19616908804 2.1322109878231944e-10 -1.7380599618505135
1.0760090100693117e-05 223302.7557958814 2.3440397741231174e-10 -1.7380598344892995
1.0825980328548686e-05 222556.08782022717 2.5590628437832723e-10 -1.7380596958315202
1.0892274040212104e-05 221811.19048187754 2.777327651092106e-10 -1.738059545838492
1.0958973706447095e-05 221068.0620155615 2.9988823436905964e-10 -1.7380593844708512
1.1026081813147287e-05 220326.7006510032 3.22377577251517e-10 -1.7380592116885505
1.1093600861428806e-05 219587.1046129325 3.4520575018802547e-10 -1.7380590274508552
1.1161533367723615e-05 218849.27212110275 3.683777819702943e-10 -1.7380588317163401
1.122988186387324e-05 218113.20139030297 3.918987747870523e-10 -1.738058624442887
1.1298648897223065e-05 217378.8906303752 4.157739052753374e-10 -1.7380584055876798
1.1367837030717404e-05 216646.33804622755 4.400084255865984e-10 -1.7380581751072017
1.1437448842994951e-05 215915.5418378488 4.6460766446766875e-10 -1.7380579329572337
1.1507486928484828e-05 215186.5002003257 4.8957702835689e-10 -1.7380576790928464
1.1577953897503402e-05 214459.21132385568 5.149220024956565e-10 -1.7380574134684013
1.1648852376351514e-05 213733.6733937606 5.406481520554581e-10 -1.738057136037545
1.172018500741229e-05 213009.8845905071 5.667611232806946e-10 -1.7380568467532047
1.1791954449249754e-05 212287.84308971587 5.932666446475576e-10 -1.738056545567587
1.1864163376707854e-05 211567.54706217963 6.201705280390515e-10 -1.7380562324321722
1.1936814481010072e-05 210848.99467387868 6.474786699364401e-10 -1.7380559072977113
1.2009910469859876e-05 210132.1840859937 6.751970526274316e-10 -1.7380555701142222
1.2083454067541561e-05 209417.11345492382 7.033317454311677e-10 -1.7380552208309854
1.215744801502171e-05 208703.78093230064 7.318889059403216e-10 -1.7380548593965408
1.2231895070051522e-05 207992.1846650035 7.608747812806389e-10 -1.7380544857586846
1.2306798007269393e-05 207282.32279517426 7.902957093879161e-10 -1.7380540998644631
1.2382159618304503e-05 206574.1934602347 8.201581203029494e-10 -1.7380537016601703
1.245798271188079e-05 205867.79479289928 8.504685374844487e-10 -1.7380532910913438
1.2534270113921541e-05 205163.12492119355 8.81233579140258e-10 -1.738052868102761
1.2611024667654885e-05 204460.18196846763 9.12459959577233e-10 -1.7380524326384332
1.2688249233719669e-05 203758.96405341264 9.441544905698332e-10 -1.7380519846416045
1.2765946690271999e-05 203059.46929007527 9.763240827477813e-10 -1.7380515240547454
1.2844119933092672e-05 202361.6957878755 1.0089757470031468e-09 -1.7380510508195488
1.2922771875695014e-05 201665.64165162054 1.0421165959169201e-09 -1.7380505648769264
1.3001905449433393e-05 200971.304981521 1.0757538452054394e-09 -1.7380500661670046
1.3081523603612629e-05 200278.68387320748 1.1098948151870442e-09 -1.7380495546291195
1.3161629305597833e-05 199587.77641774522 1.1445469322690235e-09 -1.7380490302018126
1.3242225540924917e-05 198898.5807016513 1.1797177304552336e-09 -1.7380484928228268
1.3323315313412034e-05 198211.09480690837 1.2154148528747803e-09 -1.7380479424291015
1.3404901645271446e-05 197525.3168109837 1.2516460533318282e-09 -1.7380473789567692
1.3486987577222077e-05 196841.2447868433 1.2884191978769346e-09 -1.738046802341149
1.3569576168603003e-05 196158.87680296626 1.3257422664003079e-09 -1.738046212516744
1.3652670497487404e-05 195478.21092336535 1.3636233542470746e-09 -1.7380456094172354
1.373627366079718e-05 194799.2452075986 1.4020706738549427e-09 -1.7380449929754793
1.3820388774418588e-05 194121.97771078843 1.441092556414717e-09 -1.7380443631234992
1.3905018973318134e-05 193446.40648363708 1.4806974535536387e-09 -1.738043719792485
1.3990167411659615e-05 192772.52957244142 1.5208939390422476e-09 -1.738043062912785
1.407583726292159e-05 192100.3450191111 1.561690710524763e-09 -1.7380423924139032
1.4162031720015565e-05 191429.850861184 1.6030965912734283e-09 -1.7380417082244934
1.4248753995405176e-05 190761.0451318425 1.6451205319672678e-09 -1.7380410102723538
1.4336007321225814e-05 190093.9258599298 1.6877716124953322e-09 -1.738040298484424
1.4423794949405016e-05 189428.49106996768 1.7310590437848975e-09 -1.7380395727867781
1.4512120151783831e-05 188764.73878217116 1.7749921696550717e-09 -1.73803883310462
1.4600986220238671e-05 188102.66701246513 1.8195804686958985e-09 -1.738038079362279
1.4690396466803918e-05 187442.27377250209 1.8648335561734313e-09 -1.7380373114832048
1.4780354223795533e-05 186783.55706967873 1.910761185961257e-09 -1.7380365293899613
1.4870862843935173e-05 186126.51490715033 1.9573732524985665e-09 -1.738035733004222
1.4961925700475043e-05 185471.1452838502 2.004679792775243e-09 -1.7380349222467646
1.5053546187323806e-05 184817.44619450462 2.0526909883444997e-09 -1.7380340970374657
1.5145727719172989e-05 184165.41562965003 2.101417167363134e-09 -1.738033257295296
1.523847373162414e-05 183515.05157565043 2.1508688066599145e-09 -1.7380324029383136
1.5331787681317072e-05 182866.35201471217 2.2010565338326333e-09 -1.7380315338836603
1.5425673046058592e-05 182219.31492490336 2.251991129373907e-09 -1.7380306500475546
1.552013332495203e-05 181573.93828016942 2.3036835288262637e-09 -1.7380297513452867
1.5615172038527828e-05 180930.2200503488 2.3561448249670455e-09 -1.738028837691213
1.5710792728874674e-05 180288.15820119248 2.4093862700232647e-09 -1.7380279089987507
1.5806998959771397e-05 179647.75069437962 2.4634192779168964e-09 -1.738026965180372
1.5903794316820035e-05 179008.9954875334 2.518255426541268e-09 -1.738026006147597
1.6001182407579196e-05 178371.89053423988 2.57390646006846e-09 -1.7380250318109904
1.6099166861698744e-05 177736.43378406472 2.6303842912887057e-09 -1.7380240420801543
1.6197751331054983e-05 177102.623182569 2.687701003981753e-09 -1.7380230368637222
1.629693948988666e-05 176470.45667132814 2.7458688553207936e-09 -1.7380220160693527
1.63967350349321e-05 175839.93218794768 2.8049002783095626e-09 -1.7380209796037258
1.6497141685566886e-05 175211.0476660806 2.864807884252739e-09 -1.7380199273725334
1.659816318394237e-05 174583.80103544594 2.925604465260209e-09 -1.7380188592804766
1.6699803295125368e-05 173958.1902218444 2.987302996785887e-09 -1.7380177752312573
1.680206580723836e-05 173334.21314717637 3.0499166402011443e-09 -1.7380166751275732
1.6904954531600577e-05 172711.86772945896 3.1134587454035043e-09 -1.7380155588711108
1.7008473302870262e-05 172091.15188284402 3.1779428534612847e-09 -1.7380144263625399
1.711262597918747e-05 171472.06351763432 3.2433826992942446e-09 -1.738013277501507
1.7217416442317775e-05 170854.60054030266 3.3097922143909544e-09 -1.7380121121866285
1.7322848597797132e-05 170238.76085350825 3.37718552956352e-09 -1.7380109303154854
1.742892637507735e-05 169624.5423561131 3.4455769777398276e-09 -1.7380097317846153
1.753565372767242e-05 169011.94294320254 3.514981096793939e-09 -1.7380085164895074
1.764303463330609e-05 168400.96050609936 3.5854126324154078e-09 -1.7380072843245946
1.775107309406e-05 167791.59293238417 3.6568865410175782e-09 -1.7380060351832485
1.7859773136522725e-05 167183.83810591165 3.72941799268562e-09 -1.7380047689577705
1.7969138811940112e-05 166577.69390682701 3.803022374165056e-09 -1.7380034855393873
1.8079174196365978e-05 165973.15821158802 3.877715291890716e-09 -1.738002184818243
1.8189883390814263e-05 165370.2288929765 3.953512575057378e-09 -1.738000866683392
1.8301270521411783e-05 164768.90382012102 4.0304302787320576e-09 -1.7379995310227931
1.8413339739551895e-05 164169.18085851255 4.108484687008722e-09 -1.7379981777233016
1.8526095222049438e-05 163571.05787002295 4.187692316206225e-09 -1.7379968066706637
1.8639541171296295e-05 162974.5327129207 4.2680699181095864e-09 -1.7379954177495072
1.8753681815417894e-05 162379.60324189372 4.349634483255399e-09 -1.737994010843336
1.8868521408431035e-05 161786.26730806087 4.432403244262219e-09 -1.7379925858345242
1.8984064230402308e-05 161194.52275899405 4.516393679206022e-09 -1.7379911426043053
1.9100314587607493e-05 160604.36743873585 4.601623515041565e-09 -1.7379896810327682
1.92172768126923e-05 160015.79918781525 4.68811073107055e-09 -1.737988200998849
1.933495526483373e-05 159428.81584326862 4.775873562456657e-09 -1.737986702380322
1.94533543299024e-05 158843.41523865476 4.864930503788331e-09 -1.7379851850537953
1.9572478420626268e-05 158259.5952040747 4.955300312690234e-09 -1.7379836488947003
1.969233197675497e-05 157677.35356619032 5.047002013483467e-09 -1.7379820937772863
1.9812919465225152e-05 157096.68814824018 5.140054900895451e-09 -1.737980519574612
1.9934245380327222e-05 156517.59677005975 5.234478543820432e-09 -1.7379789261585379
2.0056314243872703e-05 155940.07724809882 5.330292789130686e-09 -1.7379773133997187
2.017913060536266e-05 155364.12739543902 5.427517765539411e-09 -1.7379756811675955
2.0302699042157492e-05 154789.7450218135 5.526173887516232e-09 -1.7379740293303887
2.0427024159647416e-05 154216.92793362317 5.626281859255468e-09 -1.7379723577550883
2.055211059142397e-05 153645.67393395677 5.727862678698112e-09 -1.737970666307448
2.0677962999453023e-05 153075.98082260857 5.830937641608613e-09 -1.7379689548519752
2.0804586074248166e-05 152507.846396096 5.935528345706274e-09 -1.737967223251926
2.093198453504584e-05 151941.26844767842 6.041656694853067e-09 -1.7379654713692938
2.106016312998108e-05 151376.244767376 6.149344903297706e-09 -1.7379636990648022
2.1189126636264365e-05 150812.77314198727 6.258615499977071e-09 -1.7379619061978986
2.1318879860359912e-05 150250.8513551079 6.369491332876072e-09 -1.737960092626743
2.1449427638164687e-05 149690.47718714905 6.481995573446052e-09 -1.7379582582082012
2.1580774835188503e-05 149131.64841535556 6.5961517210828274e-09 -1.737956402797837
2.171292634673563e-05 148574.36281382554 6.711983607665498e-09 -1.7379545262499025
2.184588709808709e-05 148018.6181535268 6.82951540215612e-09 -1.7379526284173303
2.197966204468413e-05 147464.41220231735 6.9487716152614135e-09 -1.737950709151724
2.2114256172313124e-05 146911.74272496277 7.0697771041576065e-09 -1.7379487683033512
2.2249674497291302e-05 146360.60748315524 7.192557077278629e-09 -1.7379468057211334
2.2385922066653557e-05 145811.0042355319 7.317137099168741e-09 -1.7379448212526367
2.2523003958340814e-05 145262.9307376937 7.443543095400865e-09 -1.7379428147440656
2.2660925281389156e-05 144716.3847422231 7.571801357560729e-09 -1.7379407860402514
2.2799691176120105e-05 144171.3639987049 7.701938548298047e-09 -1.7379387349846442
2.2939306814332504e-05 143627.86625374175 7.833981706446017e-09 -1.7379366614193041
2.307977739949492e-05 143085.88925097632 7.967958252209007e-09 -1.7379345651848923
2.3221108166939893e-05 142545.4307311067 8.103895992420568e-09 -1.7379324461206613
2.3363304384058926e-05 142006.48843190676 8.241823125871622e-09 -1.7379303040644454
2.350637135049864e-05 141469.06008824595 8.38176824871015e-09 -1.7379281388526524
2.3650314398358593e-05 140933.14343210586 8.523760359913787e-09 -1.7379259503202547
2.379513889238986e-05 140398.73619259967 8.667828866835348e-09 -1.7379237383007777
2.3940850230194827e-05 139865.83609599274 8.814003590822745e-09 -1.7379215026262922
2.4087453842428653e-05 139334.44086571858 8.962314772914627e-09 -1.7379192431274044
2.4234955193001537e-05 138804.54822239993 9.112793079611908e-09 -1.7379169596332469
2.4383359779282186e-05 138276.15588386633 9.265469608726542e-09 -1.7379146519714663
2.4532673132303015e-05 137749.26156517345 9.420375895309069e-09 -1.7379123199682178
2.468290081696613e-05 137223.86297862182 9.577543917655e-09 -1.7379099634481516
2.48340484322506e-05 136699.95783377657 9.737006103391555e-09 -1.737907582234405
2.4986121611421404e-05 136177.54383748578 9.898795335646191e-09 -1.7379051761485924
2.5139126022239256e-05 135656.61869389753 1.0062944959297168e-08 -1.7379027450107938
2.5293067367171672e-05 135137.18010448272 1.0229488787307526e-08 -1.7379002886395474
2.544795138360582e-05 134619.2257680513 1.039846110714419e-08 -1.737897806851836
2.560378384406219e-05 134102.7533807714 1.0569896687282232e-08 -1.73789529946308
2.5760570556409587e-05 133587.7606361895 1.07438307837959e-08 -1.7378927662871257
2.5918317364081895e-05 133074.24522524897 1.0920299147038071e-08 -1.737890207136234
2.607703014629571e-05 132562.20483630788 1.1099338028408225e-08 -1.7378876218210717
2.6236714818269295e-05 132051.63715516138 1.1280984187210607e-08 -1.7378850101507004
2.6397377331443365e-05 131542.53986505582 1.1465274897604242e-08 -1.7378823719325658
2.6559023673702732e-05 131034.91064671267 1.1652247955644996e-08 -1.7378797069724863
2.672165986959931e-05 130528.74717834523 1.18419416864213e-08 -1.737877015074644
2.6885291980577036e-05 130024.04713567677 1.2034394951285453e-08 -1.7378742960415734
2.7049926105197333e-05 129520.80819196295 1.222964715518013e-08 -1.737871549674149
2.7215568379366802e-05 129019.02801800678 1.242773825406324e-08 -1.7378687757715758
2.7382224976565724e-05 128518.70428218198 1.2628708762430765e-08 -1.7378659741313784
2.7549902108077993e-05 128019.83465044934 1.2832599760939525e-08 -1.7378631445493904
2.771860602322294e-05 127522.4167863763 1.3039452904131738e-08 -1.7378602868197404
2.7888343009588067e-05 127026.44835115684 1.3249310428261458e-08 -1.7378574007348444
2.8059119393263244e-05 126531.92700363116 1.3462215159224847e-08 -1.7378544860853935
2.8230941539076785e-05 126038.85040030359 1.3678210520596175e-08 -1.7378515426603398
2.8403815850832522e-05 125547.21619536214 1.3897340541769745e-08 -1.7378485702468895
2.857774877154829e-05 125057.02204069858 1.4119649866209615e-08 -1.7378455686304877
2.8752746783696407e-05 124568.26558592696 1.434518375980926e-08 -1.7378425375948088
2.89288164094451e-05 124080.94447840267 1.4573988119361181e-08 -1.7378394769217433
2.9105964210901416e-05 123595.05636324354 1.4806109481138612e-08 -1.7378363863913886
2.9284196790356132e-05 123110.59888334585 1.5041595029591344e-08 -1.7378332657820348
2.9463520790529664e-05 122627.5696794072 1.5280492606155888e-08 -1.7378301148701525
2.9643942894819443e-05 122145.966389943 1.552285071818195e-08 -1.737826933430384
2.9825469827549434e-05 121665.78665130767 1.5768718547977688e-08 -1.7378237212355274
3.0008108354220264e-05 121187.02809771308 1.6018145961973126e-08 -1.7378204780565276
3.019186528176181e-05 120709.68836124807 1.6271183520005735e-08 -1.7378172036624622
3.0376747458786684e-05 120233.7650718975 1.6527882484727663e-08 -1.7378138978205302
3.056276177584533e-05 119759.25585756284 1.678829483113702e-08 -1.7378105602960383
3.0749915165683164e-05 119286.15834407977 1.7052473256235485e-08 -1.7378071908523904
3.093821460349882e-05 118814.47015523919 1.7320471188812482e-08 -1.7378037892510743
3.1127667107203885e-05 118344.18891280511 1.7592342799358048e-08 -1.7378003552516483
3.131827973768485e-05 117875.31223653592 1.786814301010707e-08 -1.7377968886117294
3.151005959906608e-05 117407.83774420164 1.8147927505214857e-08 -1.7377933890869808
3.170301383897441e-05 116941.76305160465 1.8431752741066498e-08 -1.7377898564310974
3.1897149648805876e-05 116477.08577259988 1.871967595672254e-08 -1.7377862903957957
3.2092474263993593e-05 116013.80351911165 1.901175518450118e-08 -1.7377826907307983
3.2288994964277194e-05 115551.9139011561 1.930804926069931e-08 -1.7377790571838214
3.2486719073974546e-05 115091.41452685853 1.9608617836455267e-08 -1.7377753895005632
3.268565396225454e-05 114632.3030024736 1.9913521388753214e-08 -1.7377716874246885
3.288580704341153e-05 114174.57693240531 2.0222821231571857e-08 -1.7377679506978163
3.308718577714205e-05 113718.23391922528 2.0536579527180163e-08 -1.7377641790595073
3.328979766882268e-05 113263.27156369278 2.085485929758039e-08 -1.7377603722472488
3.3493650269789525e-05 112809.68746477512 2.117772443610077e-08 -1.7377565299964424
3.3698751177620054e-05 112357.47921966584 2.1505239719141017e-08 -1.737752652040389
3.3905108036416105e-05 111906.64442380445 2.18374708180707e-08 -1.737748738110277
3.411272853708854e-05 111457.18067089627 2.217448431128309e-08 -1.7377447879351668
3.43216204176443e-05 111009.08555293219 2.2516347696407688e-08 -1.7377408012419777
3.4531791463474605e-05 110562.35666020698 2.286312940268141e-08 -1.7377367777554733
3.474324950764489e-05 110116.99158134038 2.321489880348129e-08 -1.7377327171982482
3.4956002431187246e-05 109672.98790329504 2.3571726229022078e-08 -1.7377286192907133
3.517005816339358e-05 109230.34321139827 2.393368297921776e-08 -1.7377244837510821
3.5385424682111635e-05 108789.0550893583 2.4300841336712702e-08 -1.7377203102953556
3.56021100140421e-05 108349.12111928611 2.4673274580081455e-08 -1.7377160986373081
3.582012223503758e-05 107910.53888171542 2.5051056997200737e-08 -1.7377118484884733
3.603946947040396e-05 107473.3059556202 2.5434263898796556e-08 -1.737707559558129
3.626015989520308e-05 107037.41991843547 2.5822971632166897e-08 -1.7377032315532825
3.648220173455716e-05 106602.87834607656 2.6217257595082757e-08 -1.7376988641786566
3.67056032639558e-05 106169.6788129589 2.661720024987139e-08 -1.737694457136673
3.69303728095642e-05 105737.81889201699 2.702287913768153e-08 -1.7376900101274402
